,,44f60,54f10,34440,34440,,,,
,,,,,,,,,
,,,51f10,,,,,,
,,,,,,,,,
,16ff0,41f60,54f10,24640,24640,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
26f80,,44f60,51f10,,,,,,
,,,,,,,,,
,14ff0,41f60,51f10,31640,31640,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
24f80,,36f60,54f10,,,,,,
,,,,,,,,,
,21ff0,,,34440,34440,,,,
,,,,,,,,,
,,41f60,51f10,,,,,,
,,,,,,,,,
31f80,16ff0,36f60,51f10,24680,24640,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
26f40,,41f60,54f10,,,,,,
,,,,,,,,,
,14ff0,,,31680,31640,,,,
,,,,,,,,,
,,43f60,51f10,,,,,,
,,,,,,,,,
24f80,,,,,,,,,
,,,,,,,,,
,21ff0,44f60,54f10,34480,34440,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
31f80,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
