,,312f0,312f0,21240,,,,,,
,,,,,,,,,,
,,322f0,322f0,20240,,,,,,
,,,,,,,,,,
,,342f0,342f0,14240,,,,,,
,,,,,,,,,,
,,406f0,406f0,13840,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,412f0,412f0,,,,,,,
,,,,,,,,,,
,,402f0,402f0,20440,,,,,,
,,,,,,,,,,
,,332f0,332f0,,,,,,,
,,,,,,,,,,
,,324f0,324f0,22840,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,318f0,318f0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,24240,,,,,,
,,,,,,,,,,
,,,,23240,,,,,,
,,,,,,,,,,
,,214f0,214f0,21440,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,134f0,134f0,13440,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,142f0,142f0,14240,,,,,,
,,,,,,,,,,
,,202f0,202f0,20240,,,,,,
,,,,,,,,,,
,,216f0,216f0,21440,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,14240,,,,,,
,,,,,,,,,,
,,202f0,202f0,20640,,,,,,
,,,,,,,,,,
,,228f0,228f0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,22240,,,,,,
,,,,,,,,,,
,,,,20240,,,,,,
,,,,,,,,,,
,,216f0,216f0,21640,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
