,,,22240,22240,,hc880,,,
,,,,,,hc880,,,
,,,21240,21240,,hc880,,,
,,,,,,hc880,,,
,,,20240,20240,,clff0,sl6f0,,
,,,,,,hc880,,,
,,,14840,14840,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,sn2f1,,
,,,,,,hc880,,,
,,,21440,21440,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,23440,23440,,hc880,,,
,,,,,,hc880,,,
,,,,,,clff0,sl6f0,,
,,,,,,hc880,,,
,,,21a40,21a40,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,sn2f1,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,52ff9,22240,22240,,hc880,,,
,,,,,,hc880,,,
,,,21240,21240,,hc880,,,
,,,,,,hc880,,,
,,,20240,21240,,clff0,sl6f0,,
,,,,,,hc880,,,
,,,14840,14840,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,sn2f1,,
,,,,,,hc880,,,
,,,21440,21440,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,23440,23440,,hc880,,,
,,,,,,hc880,,,
,,,,,,clff0,sl6f0,,
,,,,,,hc880,,,
,,,21a40,21a40,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,sn2f1,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,hc880,,,
,,,,,,,,,
,,,,,,,,,
